,Year,Tissue_type,Location,Treatment
Soil1-1-T0,2021,Bulk soil,California,CCC
Soil1-2-T0,2021,Bulk soil,California,CCC
Soil2-1-T0,2021,Bulk soil,California,CCC
Soil2-2-T0,2021,Bulk soil,California,CCC
Soil3-1-T0,2021,Bulk soil,California,CCC
Soil3-2-T0,2021,Bulk soil,California,CCC
Soil4-1-T0,2021,Bulk soil,California,CCC
Soil4-2-T0,2021,Bulk soil,California,CCC
Soil5-1-T0,2021,Bulk soil,California,CCC
Soil5-2-T0,2021,Bulk soil,California,CCC
CCCR1R1,2021,Rhizosphere,California,CCC
CCCR2R1,2021,Rhizosphere,California,CCC
CCCR3R1,2021,Rhizosphere,California,CCC
CCCR4R1,2021,Rhizosphere,California,CCC
MCCR1R1,2021,Rhizosphere,California,MCC
MCCR2R1,2021,Rhizosphere,California,MCC
MCCR3R1,2021,Rhizosphere,California,MCC
MCCR4R1,2021,Rhizosphere,California,MCC
CGCR1R1,2021,Rhizosphere,California,CGC
CGCR2R1,2021,Rhizosphere,California,CGC
CGCR3R1,2021,Rhizosphere,California,CGC
CGCR4R1,2021,Rhizosphere,California,CGC
CCHR1R2,2021,Rhizosphere,California,CCH
CCHR2R1,2021,Rhizosphere,California,CCH
CCHR3R1,2021,Rhizosphere,California,CCH
CCHR4R1,2021,Rhizosphere,California,CCH
MGCR1R1,2021,Rhizosphere,California,MGC
MGCR2R1,2021,Rhizosphere,California,MGC
MGCR3R1,2021,Rhizosphere,California,MGC
MGCR4R1,2021,Rhizosphere,California,MGC
MCHR1R1,2021,Rhizosphere,California,MCH
MCHR2R1,2021,Rhizosphere,California,MCH
MCHR3R1,2021,Rhizosphere,California,MCH
MCHR4R1,2021,Rhizosphere,California,MCH
MGHR1R1,2021,Rhizosphere,California,MGH
MGHR2R1,2021,Rhizosphere,California,MGH
MGHR2R2,2021,Rhizosphere,California,MGH
MGHR4R1,2021,Rhizosphere,California,MGH
R-T0-MCC1,2021,Roots,California,MCC
R-T0-MCC2,2021,Roots,California,MCC
R-T0-MCC3,2021,Roots,California,MCC
R-T0-MCC4,2021,Roots,California,MCC
R-T0-CGC1,2021,Roots,California,CGC
R-T0-CGC2,2021,Roots,California,CGC
R-T0-CGC3,2021,Roots,California,CGC
R-T0-CGC4,2021,Roots,California,CGC
R-T0-CCH1,2021,Roots,California,CCH
R-T0-CCH2,2021,Roots,California,CCH
R-T0-CCH3,2021,Roots,California,CCH
R-T0-CCH4,2021,Roots,California,CCH
R-T0-MGC1,2021,Roots,California,MGC
R-T0-MGC2,2021,Roots,California,MGC
R-T0-MGC3,2021,Roots,California,MGC
R-T0-MGC4,2021,Roots,California,MGC
R-T0-MCH1,2021,Roots,California,MCH
R-T0-MCH2,2021,Roots,California,MCH
R-T0-MCH3,2021,Roots,California,MCH
R-T0-MCH4,2021,Roots,California,MCH
R-T0-CGH1,2021,Roots,California,CGH
R-T0-CGH2,2021,Roots,California,CGH
R-T0-CGH3,2021,Roots,California,CGH
R-T0-CGH4,2021,Roots,California,CGH
R-T0-MGH1,2021,Roots,California,MGH
R-T0-MGH2,2021,Roots,California,MGH
R-T0-MGH3,2021,Roots,California,MGH
R-T0-MGH4,2021,Roots,California,MGH
L-T0-CCC1,2021,Leaves,California,CCC
L-T0-CCC2,2021,Leaves,California,CCC
L-T0-CCC3,2021,Leaves,California,CCC
L-T0-CCC4,2021,Leaves,California,CCC
L-T0-MCC1,2021,Leaves,California,MCC
L-T0-MCC2,2021,Leaves,California,MCC
L-T0-MCC3,2021,Leaves,California,MCC
L-T0-MCC4,2021,Leaves,California,MCC
L-T0-CGC1,2021,Leaves,California,CGC
L-T0-CGC2,2021,Leaves,California,CGC
L-T0-CGC3,2021,Leaves,California,CGC
L-T0-CGC4,2021,Leaves,California,CGC
L-T0-CCH1,2021,Leaves,California,CCH
L-T0-CCH2,2021,Leaves,California,CCH
L-T0-CCH3,2021,Leaves,California,CCH
L-T0-CCH4,2021,Leaves,California,CCH
L-T0-MGC1,2021,Leaves,California,MGC
L-T0-MGC2,2021,Leaves,California,MGC
L-T0-MGC3,2021,Leaves,California,MGC
L-T0-MGC4,2021,Leaves,California,MGC
L-T0-MCH1,2021,Leaves,California,MCH
L-T0-MCH2,2021,Leaves,California,MCH
L-T0-MCH3,2021,Leaves,California,MCH
L-T0-MCH4,2021,Leaves,California,MCH
L-T0-CGH1,2021,Leaves,California,CGH
L-T0-CGH2,2021,Leaves,California,CGH
L-T0-CGH3,2021,Leaves,California,CGH
L-T0-CGH4,2021,Leaves,California,CGH
L-T0-MGH1,2021,Leaves,California,MGH
L-T0-MGH2,2021,Leaves,California,MGH
L-T0-MGH3,2021,Leaves,California,MGH
L-T0-MGH4,2021,Leaves,California,MGH
CCCT1-S1,2022,Bulk soil,California,CCC
CCCT1-S2,2022,Bulk soil,California,CCC
