,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,Unclassified
OTU2,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Streptomycetaceae,g__Streptomyces,Unclassified
OTU3,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Escherichia/Shigella,Unclassified
OTU4,k__Bacteria,p__Cyanobacteria/Chloroplast,c__Chloroplast,Unclassified,f__Chloroplast,g__Streptophyta,Unclassified
OTU5,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_1,g__Bacillus,Unclassified
OTU6,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Stella,Unclassified
OTU7,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,Unclassified,Unclassified
OTU8,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,Unclassified
OTU9,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,Unclassified
OTU10,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,Unclassified
OTU11,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Ehrlichia,Unclassified
OTU12,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Arthrobacter,Unclassified
OTU13,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Yersinia,Unclassified
OTU14,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Streptomycetaceae,g__Streptomyces,Unclassified
OTU15,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,Unclassified
OTU16,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,Unclassified,Unclassified
OTU17,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_1,g__Bacillus,Unclassified
OTU18,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,Unclassified
OTU19,k__Archaea,p__Thaumarchaeota,Unclassified,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,Unclassified
OTU20,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,Unclassified
OTU21,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,g__Chitinophaga,Unclassified
OTU22,k__Archaea,p__Thaumarchaeota,Unclassified,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,Unclassified
OTU23,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,Unclassified
OTU24,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unclassified,Unclassified
OTU25,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Arthrobacter,Unclassified
OTU26,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Amycolatopsis,Unclassified
OTU27,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Pseudoduganella,Unclassified
OTU28,k__Archaea,p__Thaumarchaeota,Unclassified,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,Unclassified
OTU29,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,Unclassified
OTU30,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,Unclassified,Unclassified,g__Spartobacteria_genera_incertae_sedis,Unclassified
OTU31,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp1,Unclassified,Unclassified,g__Gp1,Unclassified
OTU32,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,Unclassified
OTU33,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,Unclassified,Unclassified
OTU34,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp6,Unclassified,Unclassified,g__Gp6,Unclassified
OTU35,k__Archaea,p__Thaumarchaeota,Unclassified,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,Unclassified
OTU36,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,Unclassified
OTU37,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,Unclassified
OTU38,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU39,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp4,Unclassified,Unclassified,g__Gp4,Unclassified
OTU40,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,Unclassified
OTU41,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azoarcus,Unclassified
OTU42,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,Unclassified
OTU43,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Streptomycetaceae,g__Streptomyces,Unclassified
OTU44,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Mycobacteriaceae,g__Mycobacterium,Unclassified
OTU45,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,Unclassified,Unclassified,Unclassified
OTU46,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp1,Unclassified,Unclassified,Unclassified,Unclassified
OTU47,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Dechloromonas,Unclassified
OTU48,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,Unclassified,Unclassified,Unclassified
OTU49,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__Ktedonobacter,Unclassified
OTU50,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,Unclassified,Unclassified,Unclassified
OTU51,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp1,Unclassified,Unclassified,Unclassified,Unclassified
OTU52,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU53,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,Unclassified
OTU54,k__Archaea,p__Thaumarchaeota,Unclassified,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,Unclassified
OTU55,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_1,g__Bacillus,Unclassified
OTU56,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp1,Unclassified,Unclassified,g__Candidatus_Koribacter,Unclassified
OTU57,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp16,Unclassified,Unclassified,g__Gp16,Unclassified
OTU58,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,Unclassified
OTU59,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Entomoplasmatales,f__Spiroplasmataceae,g__Spiroplasma,Unclassified
OTU60,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU61,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,g__Niastella,Unclassified
OTU62,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azonexus,Unclassified
OTU63,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__Povalibacter,Unclassified
OTU64,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,Unclassified,Unclassified,g__Spartobacteria_genera_incertae_sedis,Unclassified
