,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria alternata
OTU2,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium basi-inflatum
OTU3,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium verticillioides
OTU4,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Cryptococcaceae,g__Cryptococcus,s__Cryptococcus neoformans
OTU5,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Ramularia,Unclassified
OTU6,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unclassified,Unclassified
OTU7,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,Unclassified,Unclassified
OTU8,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Tylosporaceae,g__Amphinema,Unclassified
OTU9,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Neocosmospora,s__Neocosmospora falciformis
OTU10,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,Unclassified,Unclassified,Unclassified
OTU11,k__Fungi,p__Ascomycota,c__Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU12,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU13,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Aschersonia,Unclassified
OTU14,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,Unclassified
OTU15,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unclassified,Unclassified
OTU16,k__Fungi,p__Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU17,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU18,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria subcucurbitae
OTU19,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
